Location,Pincode,lat,long
Aranya Bhavan,560003,13.01061485,77.5708195101909
Austin Town,560047,12.9612736,77.6152935
Avalahalli,560026,13.0352777,77.7365655
Bagalgunte,560073,13.0566493,77.5048222
Banashankari Iii stage,560085,12.932708,77.5462535
Banaswadi,560043,13.0141618,77.6518539
Bangalore Bazaar,560001,13.0122674,77.5534616
Bangalore City,560002,12.9791198,77.5912997
Bangalore Corporation building,560002,12.9741014,77.627469
Bangalore Fort,560002,12.96294085,77.5757598849352
Bangalore.,560001,12.9791198,77.5912997
Bannerghatta Road,560076,12.9166588,77.5998415
Basaveshwaranagar,560079,12.986475,77.5385709
Bellandur,560103,12.9361208,77.6666171141339
Benson Town,560046,12.997803,77.6041749
Brigade Road,560001,12.9736132,77.6074716
Byatarayanapura,560026,13.06207355,77.5963916436534
C.V.raman nagar,560093,12.9856478,77.6649767
Chamrajpet,560018,12.9569966,77.5633682
Chamrajpet Bazar,560018,12.9555224,77.5854846
Chickpet,560053,12.9680027,77.578642
Chikkabettahalli,560097,13.0895251,77.5563629
Chikkajala,562157,13.1715801,77.6345704
Chikkalasandra,560061,12.9121916,77.5476337
Chunchanakuppe,562130,12.9095576,77.386642
Deepanjalinagar,560026,12.95062355,77.5365537699925
Dharmaram College,560029,12.93384145,77.6042030651392
Doddajala,562157,13.1767348,77.6520502
Doddakallasandra,560062,12.8857355,77.5557448
Doddanekkundi,560037,12.9757204,77.6940417
Domlur,560071,12.9624669,77.6381958
Dr. ambedkar veedhi,560001,12.9780118,77.5908362
G.K.v.k.,560065,12.8876108,77.5821067
Girinagar,560085,12.9401439,77.5444995
Goraguntepalya,560022,13.0284078,77.5408961
Goripalya,560026,12.9646061,77.5545531
Hsr Layout,560102,12.9116225,77.6388622
Hennagara,562106,12.7883084,77.6733345
Hongasandra,560068,12.8975365,77.628075265942
Hoodi,560048,12.9919033,77.7162015
Horamavu,560043,13.0273312,77.6601508
Hosakerehalli,560085,12.9301881,77.5378332
Hosur Road,560030,12.9295648,77.615163
Hulimangala,562106,12.8188956,77.6384041
Hunasamaranahalli,562157,13.1440103,77.6191241
Ittamadu Layout,560085,12.9168,77.5424433629975
J P nagar,560078,12.9094922,77.5967385573177
Jakkur,560064,13.0784743,77.6068938
Jalahalli,560013,13.0464531,77.5483803
Jalahalli East,560014,13.0464531,77.5483803
Jalahalli Village,560013,13.0452298,77.547996
Jalahalli West,560015,13.0533332,77.5306036
Jeevanahalli,560005,12.9954832,77.6208684
Jigani,562106,12.7852528,77.6380931
Jp Nagar iii phase,560078,12.9117472,77.5918492
Kacharakanahalli,560084,12.9957647,77.814568
Kadabagere,562130,12.9968992,77.4332254
Kadugodi,560067,12.9985767,77.7609716
Kamakshipalya,560079,12.9823617,77.5226376
Kathriguppe,560085,12.9311931,77.5547931
Kendriya Sadan,560034,12.925464,77.6208846534546
Kodigehalli,560092,13.0031666,77.7272835
Konanakunte,560062,12.88601785,77.5791413972707
Koramangala I block,560034,12.9274264,77.6310878067389
Kumaraswamy Layout,560078,12.9068169,77.5635247362134
Kundalahalli,560037,12.9684441,77.7187843
Madhavan Park,560011,12.936265,77.5857085578448
Mallathahalli,560056,12.9610667,77.5099088
Maruthi Sevanagar,560033,13.0026552,77.6347376
Mathikere,560054,13.0328884,77.557374
Mico Layout,560076,12.9151131,77.6006286
Msrit,560054,13.0309553,77.5648559396817
Nagarbhavi,560072,12.9651008,77.5078635
Narayan Pillai street,560001,12.9829184,77.6084736
Nayandahalli,560039,12.943655,77.5268791
New Thippasandra,560075,12.9736956,77.6536931
Okalipuram,560021,12.98204705,77.5642294415321
Palace Guttahalli,560003,13.0044094,77.5812634
Peenya I stage,560058,13.0314616,77.5136264335643
Peenya Ii stage,560058,13.0314616,77.5136264335643
Rajajinagar I block,560010,12.9779588,77.5526972
Rajanakunte,560064,13.1691901,77.5639442
Ramagondanahalli,560066,13.1196469,77.5586193
Ramakrishna Hegde nagar,560045,12.97695915,77.5123160731423
Ramamurthy Nagar,560016,13.0120218,77.6777817
Sadashivanagar,560080,13.0077079,77.5795893
Sahakaranagar P.o,560092,13.064701,77.5839076
Samethanahalli,560067,12.979363,77.7907328
Sarjapura,562125,12.8600866,77.7861352
Singanayakanahalli,560064,13.1478621,77.5693207
Sri Jayachamarajendra road,560002,12.97795955,77.5862781077142
St. john's medical college,560034,12.92790885,77.6179567231208
State Bank of mysore colony,560050,13.000405,77.6233725
Subramanyapura,560061,12.8839705,77.5412114
Taverekere,560029,12.9328504,77.6084306
Thambuchetty Palya,560049,13.0215083,77.7000989
Ullalu Upanagara,560056,12.9627628,77.4745885
Vasanthnagar,560052,12.992444,77.5964945
Vidhana Soudha,560001,12.9797454,77.5906167279795
Vidyaranyapura,560097,13.0766407,77.5577315
Virgonagar,560049,13.0331172,77.734857
Wheel And axle plant,560064,13.106022,77.5821244
Wilson Garden,560027,12.9489339,77.5968273
Yediyur,560070,13.1312237,77.6957681
Yelachenahalli,560078,12.897971,77.5700846
Yelahanka,560064,13.1006982,77.5963454
Yelahanka Satellite town,560064,13.08913925,77.5827165877116
Yemalur,560037,12.9454643,77.6805505
